model,class,f1_base_mean,f1_base_std,f1_aug_mean,f1_aug_std,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std
CTGAN,backdoor,0.9752,0.0014,0.9747,0.0012,-0.0005,0.0016,0.0003,0.0007
CTGAN,shellcode,0.5876,0.0065,0.5969,0.0045,0.0094,0.0084,0.0196,0.0096
CTGAN,worms,0.8454,0.0249,0.8309,0.0236,-0.0145,0.0344,-0.0114,0.039
Drifting,backdoor,0.9752,0.0014,0.9756,0.0012,0.0003,0.0019,0.0002,0.0005
Drifting,shellcode,0.5876,0.0065,0.5932,0.0051,0.0056,0.0083,0.0066,0.0118
Drifting,worms,0.8454,0.0249,0.8393,0.0248,-0.0062,0.0344,-0.025,0.0378
TabDDPM,backdoor,0.9752,0.0014,0.9755,0.001,0.0003,0.0014,0.0009,0.0012
TabDDPM,shellcode,0.5876,0.0065,0.5951,0.0053,0.0076,0.0101,0.019,0.0167
TabDDPM,worms,0.8454,0.0249,0.8382,0.0273,-0.0072,0.0293,-0.0091,0.0469
