seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,1,backdoor,1746,0.9765013054830288,0.9739583333333334,-0.0025429721496953,0.9622641509433962,0.9622641509433962,0.0
42,CTGAN,1,shellcode,1133,0.5921658986175116,0.6039035591274398,0.0117376605099281,0.6798941798941799,0.6957671957671958,0.0158730158730159
42,CTGAN,1,worms,130,0.851063829787234,0.8571428571428571,0.006079027355623,0.9090909090909092,0.8863636363636364,-0.0227272727272727
42,TabDDPM,1,backdoor,1746,0.9765013054830288,0.9756944444444444,-0.0008068610385842,0.9622641509433962,0.9639794168096056,0.0017152658662092
42,TabDDPM,1,shellcode,1133,0.5921658986175116,0.5983701979045402,0.0062042992870285,0.6798941798941799,0.6798941798941799,0.0
42,TabDDPM,1,worms,130,0.851063829787234,0.8089887640449438,-0.0420750657422902,0.9090909090909092,0.8181818181818182,-0.0909090909090908
42,Drifting,1,backdoor,1746,0.9765013054830288,0.9739583333333334,-0.0025429721496953,0.9622641509433962,0.9622641509433962,0.0
42,Drifting,1,shellcode,1133,0.5921658986175116,0.5976470588235294,0.0054811602060178,0.6798941798941799,0.671957671957672,-0.0079365079365079
42,Drifting,1,worms,130,0.851063829787234,0.8470588235294118,-0.0040050062578222,0.9090909090909092,0.8181818181818182,-0.0909090909090908
123,CTGAN,1,backdoor,1746,0.9722222222222222,0.9739583333333334,0.0017361111111111,0.9605488850771868,0.9622641509433962,0.0017152658662092
123,CTGAN,1,shellcode,1133,0.5787631271878646,0.5942857142857143,0.0155225870978497,0.656084656084656,0.6878306878306878,0.0317460317460317
123,CTGAN,1,worms,130,0.8470588235294118,0.8222222222222222,-0.0248366013071895,0.8181818181818182,0.8409090909090909,0.0227272727272727
123,TabDDPM,1,backdoor,1746,0.9722222222222222,0.9756521739130436,0.0034299516908212,0.9605488850771868,0.9622641509433962,0.0017152658662092
123,TabDDPM,1,shellcode,1133,0.5787631271878646,0.5934314835787089,0.0146683563908442,0.656084656084656,0.6931216931216931,0.037037037037037
123,TabDDPM,1,worms,130,0.8470588235294118,0.8604651162790697,0.0134062927496579,0.8181818181818182,0.8409090909090909,0.0227272727272727
123,Drifting,1,backdoor,1746,0.9722222222222222,0.9748045178105996,0.0025822955883773,0.9605488850771868,0.9622641509433962,0.0017152658662092
123,Drifting,1,shellcode,1133,0.5787631271878646,0.5925925925925926,0.0138294654047279,0.656084656084656,0.6772486772486772,0.0211640211640211
123,Drifting,1,worms,130,0.8470588235294118,0.8470588235294118,0.0,0.8181818181818182,0.8181818181818182,0.0
