model,class,f1_base_mean,f1_base_std,f1_aug_mean,f1_aug_std,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std
CTGAN,backdoor,0.9751,0.0018,0.9745,0.0013,-0.0007,0.0022,0.0003,0.0008
CTGAN,shellcode,0.5855,0.007,0.5962,0.0045,0.0107,0.0069,0.0206,0.0113
CTGAN,worms,0.8409,0.0333,0.8296,0.0209,-0.0113,0.0438,-0.0227,0.0425
Drifting,backdoor,0.9751,0.0018,0.9753,0.001,0.0002,0.0019,0.0003,0.0008
Drifting,shellcode,0.5855,0.007,0.5953,0.0046,0.0098,0.0075,0.0095,0.0143
Drifting,worms,0.8409,0.0333,0.8525,0.012,0.0116,0.0336,-0.0227,0.0455
TabDDPM,backdoor,0.9751,0.0018,0.9758,0.0004,0.0007,0.0016,0.0007,0.0009
TabDDPM,shellcode,0.5855,0.007,0.5956,0.0058,0.0101,0.0109,0.0212,0.0184
TabDDPM,worms,0.8409,0.0333,0.8246,0.0263,-0.0163,0.0364,-0.0318,0.0547
