seed,model,class,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,backdoor,0.9765013054830287,0.9739583333333334,-0.002542972149695344,0.9622641509433962,0.9622641509433962,0.0
42,CTGAN,shellcode,0.5921658986175116,0.6039035591274398,0.011737660509928194,0.6798941798941799,0.6957671957671958,0.015873015873015928
42,CTGAN,worms,0.851063829787234,0.8571428571428571,0.006079027355623046,0.9090909090909091,0.8863636363636364,-0.022727272727272707
42,TabDDPM,backdoor,0.9765013054830287,0.9756944444444444,-0.0008068610385842945,0.9622641509433962,0.9639794168096055,0.0017152658662092923
42,TabDDPM,shellcode,0.5921658986175116,0.5983701979045402,0.006204299287028592,0.6798941798941799,0.6798941798941799,0.0
42,TabDDPM,worms,0.851063829787234,0.8089887640449438,-0.04207506574229025,0.9090909090909091,0.8181818181818182,-0.09090909090909083
42,Drifting,backdoor,0.9765013054830287,0.9739583333333334,-0.002542972149695344,0.9622641509433962,0.9622641509433962,0.0
42,Drifting,shellcode,0.5921658986175116,0.5976470588235294,0.005481160206017854,0.6798941798941799,0.671957671957672,-0.007936507936507908
42,Drifting,worms,0.851063829787234,0.8470588235294118,-0.004005006257822297,0.9090909090909091,0.8181818181818182,-0.09090909090909083
123,CTGAN,backdoor,0.9722222222222222,0.9739583333333334,0.0017361111111111605,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,CTGAN,shellcode,0.5787631271878646,0.5942857142857143,0.015522587097849705,0.656084656084656,0.6878306878306878,0.031746031746031744
123,CTGAN,worms,0.8470588235294118,0.8222222222222222,-0.024836601307189565,0.8181818181818182,0.8409090909090909,0.022727272727272707
123,TabDDPM,backdoor,0.9722222222222222,0.9756521739130435,0.0034299516908212757,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,TabDDPM,shellcode,0.5787631271878646,0.5934314835787089,0.014668356390844295,0.656084656084656,0.6931216931216931,0.03703703703703709
123,TabDDPM,worms,0.8470588235294118,0.8604651162790697,0.013406292749657989,0.8181818181818182,0.8409090909090909,0.022727272727272707
123,Drifting,backdoor,0.9722222222222222,0.9748045178105995,0.0025822955883773036,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,Drifting,shellcode,0.5787631271878646,0.5925925925925926,0.013829465404727959,0.656084656084656,0.6772486772486772,0.021164021164021163
123,Drifting,worms,0.8470588235294118,0.8470588235294118,0.0,0.8181818181818182,0.8181818181818182,0.0
456,CTGAN,backdoor,0.9765013054830287,0.9731136166522116,-0.0033876888308170816,0.9622641509433962,0.9622641509433962,0.0
456,CTGAN,shellcode,0.5867287543655413,0.5933562428407789,0.006627488475237642,0.6666666666666666,0.6851851851851852,0.0185185185185186
456,CTGAN,worms,0.782608695652174,0.8372093023255814,0.05460060667340749,0.8181818181818182,0.8181818181818182,0.0
456,TabDDPM,backdoor,0.9765013054830287,0.9765013054830287,0.0,0.9622641509433962,0.9622641509433962,0.0
456,TabDDPM,shellcode,0.5867287543655413,0.5970488081725313,0.01032005380698997,0.6666666666666666,0.6957671957671958,0.029100529100529182
456,TabDDPM,worms,0.782608695652174,0.8089887640449438,0.02638006839276985,0.8181818181818182,0.8181818181818182,0.0
456,Drifting,backdoor,0.9765013054830287,0.9765013054830287,0.0,0.9622641509433962,0.9622641509433962,0.0
456,Drifting,shellcode,0.5867287543655413,0.602125147579693,0.01539639321415176,0.6666666666666666,0.6746031746031746,0.00793650793650802
456,Drifting,worms,0.782608695652174,0.8505747126436781,0.06796601699150417,0.8181818181818182,0.8409090909090909,0.022727272727272707
789,CTGAN,backdoor,0.9748045178105995,0.9748045178105995,0.0,0.9622641509433962,0.9622641509433962,0.0
789,CTGAN,shellcode,0.5777777777777777,0.5960874568469505,0.018309679069172802,0.6534391534391535,0.6851851851851852,0.031746031746031744
789,CTGAN,worms,0.8636363636363636,0.8314606741573034,-0.03217568947906024,0.8636363636363636,0.8409090909090909,-0.022727272727272707
789,TabDDPM,backdoor,0.9748045178105995,0.9756521739130435,0.0008476561024439722,0.9622641509433962,0.9622641509433962,0.0
789,TabDDPM,shellcode,0.5777777777777777,0.6020761245674741,0.024298346789696335,0.6534391534391535,0.6904761904761905,0.03703703703703698
789,TabDDPM,worms,0.8636363636363636,0.8444444444444444,-0.019191919191919204,0.8636363636363636,0.8636363636363636,0.0
789,Drifting,backdoor,0.9748045178105995,0.9756521739130435,0.0008476561024439722,0.9622641509433962,0.9622641509433962,0.0
789,Drifting,shellcode,0.5777777777777777,0.5935334872979214,0.015755709520143713,0.6534391534391535,0.6798941798941799,0.026455026455026398
789,Drifting,worms,0.8636363636363636,0.8444444444444444,-0.019191919191919204,0.8636363636363636,0.8636363636363636,0.0
1024,CTGAN,backdoor,0.9756521739130435,0.9765013054830287,0.0008491315699852287,0.9622641509433962,0.9622641509433962,0.0
1024,CTGAN,shellcode,0.5920745920745921,0.593279258400927,0.001204666326334869,0.671957671957672,0.6772486772486772,0.005291005291005235
1024,CTGAN,worms,0.8602150537634409,0.8,-0.06021505376344083,0.9090909090909091,0.8181818181818182,-0.09090909090909083
1024,TabDDPM,backdoor,0.9756521739130435,0.9756521739130435,0.0,0.9622641509433962,0.9622641509433962,0.0
1024,TabDDPM,shellcode,0.5920745920745921,0.5868814729574223,-0.005193119117169798,0.671957671957672,0.6746031746031746,0.002645502645502673
1024,TabDDPM,worms,0.8602150537634409,0.8,-0.06021505376344083,0.9090909090909091,0.8181818181818182,-0.09090909090909083
1024,Drifting,backdoor,0.9756521739130435,0.9756521739130435,0.0,0.9622641509433962,0.9622641509433962,0.0
1024,Drifting,shellcode,0.5920745920745921,0.5906976744186047,-0.001376917655987464,0.671957671957672,0.671957671957672,0.0
1024,Drifting,worms,0.8602150537634409,0.8735632183908046,0.013348164627363768,0.9090909090909091,0.8636363636363636,-0.045454545454545414
