model,class,f1_base,f1_aug,f1_delta,recall_delta
CTGAN,bot,0.6662 +- 0.0251,0.7220 +- 0.0169,+0.0558 +- 0.0324,-0.0032 +- 0.0038
CTGAN,brute_force,0.7194 +- 0.0094,0.7441 +- 0.0060,+0.0246 +- 0.0082,+0.0238 +- 0.0119
CTGAN,xss,0.4231 +- 0.0136,0.4547 +- 0.0134,+0.0315 +- 0.0227,-0.0421 +- 0.0271
Drifting,bot,0.6662 +- 0.0251,0.6802 +- 0.0398,+0.0140 +- 0.0398,-0.0008 +- 0.0032
Drifting,brute_force,0.7194 +- 0.0094,0.7329 +- 0.0103,+0.0135 +- 0.0059,+0.0040 +- 0.0069
Drifting,xss,0.4231 +- 0.0136,0.4560 +- 0.0202,+0.0329 +- 0.0208,-0.0139 +- 0.0258
TabDDPM,bot,0.6662 +- 0.0251,0.6939 +- 0.0195,+0.0277 +- 0.0355,-0.0039 +- 0.0030
TabDDPM,brute_force,0.7194 +- 0.0094,0.7368 +- 0.0085,+0.0173 +- 0.0052,+0.0396 +- 0.0144
TabDDPM,xss,0.4231 +- 0.0136,0.4216 +- 0.0250,-0.0015 +- 0.0224,-0.0944 +- 0.0367
