class,model,f1_delta_x1,f1_delta_x3,f1_delta_x5
bot,CTGAN,+0.0558 +- 0.0324,+0.0829 +- 0.0331,+0.0875 +- 0.0254
bot,Drifting,+0.0140 +- 0.0398,+0.0487 +- 0.0321,+0.0821 +- 0.0276
bot,TabDDPM,+0.0277 +- 0.0355,+0.0553 +- 0.0294,+0.0714 +- 0.0284
brute_force,CTGAN,+0.0246 +- 0.0082,+0.0253 +- 0.0099,+0.0265 +- 0.0103
brute_force,Drifting,+0.0135 +- 0.0059,+0.0139 +- 0.0143,+0.0157 +- 0.0121
brute_force,TabDDPM,+0.0173 +- 0.0052,+0.0187 +- 0.0093,+0.0193 +- 0.0099
xss,CTGAN,+0.0315 +- 0.0227,+0.0415 +- 0.0155,+0.0448 +- 0.0192
xss,Drifting,+0.0329 +- 0.0208,+0.0652 +- 0.0226,+0.0684 +- 0.0210
xss,TabDDPM,-0.0015 +- 0.0224,-0.0000 +- 0.0200,+0.0099 +- 0.0251
