class,model,f1_delta_x1,f1_delta_x3,f1_delta_x5
backdoor,CTGAN,-0.0005 +- 0.0016,-0.0024 +- 0.0026,-0.0029 +- 0.0021
backdoor,Drifting,+0.0003 +- 0.0019,+0.0001 +- 0.0018,+0.0003 +- 0.0013
backdoor,TabDDPM,+0.0003 +- 0.0014,+0.0013 +- 0.0018,+0.0008 +- 0.0012
shellcode,CTGAN,+0.0094 +- 0.0084,+0.0094 +- 0.0104,+0.0101 +- 0.0083
shellcode,Drifting,+0.0056 +- 0.0083,+0.0054 +- 0.0098,+0.0065 +- 0.0070
shellcode,TabDDPM,+0.0076 +- 0.0101,+0.0097 +- 0.0074,+0.0117 +- 0.0105
worms,CTGAN,-0.0145 +- 0.0344,-0.0134 +- 0.0264,-0.0196 +- 0.0245
worms,Drifting,-0.0062 +- 0.0344,-0.0066 +- 0.0283,-0.0106 +- 0.0271
worms,TabDDPM,-0.0072 +- 0.0293,-0.0031 +- 0.0310,+0.0071 +- 0.0330
