model,class,f1_base_mean,f1_base_std,f1_aug_mean,f1_aug_std,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std
CTGAN,bot,0.6662,0.0251,0.722,0.0169,0.0558,0.0324,-0.0032,0.0038
CTGAN,brute_force,0.7194,0.0094,0.7441,0.006,0.0246,0.0082,0.0238,0.0119
CTGAN,xss,0.4231,0.0136,0.4547,0.0134,0.0315,0.0227,-0.0421,0.0271
Drifting,bot,0.6662,0.0251,0.6802,0.0398,0.014,0.0398,-0.0008,0.0032
Drifting,brute_force,0.7194,0.0094,0.7329,0.0103,0.0135,0.0059,0.004,0.0069
Drifting,xss,0.4231,0.0136,0.456,0.0202,0.0329,0.0208,-0.0139,0.0258
TabDDPM,bot,0.6662,0.0251,0.6939,0.0195,0.0277,0.0355,-0.0039,0.003
TabDDPM,brute_force,0.7194,0.0094,0.7368,0.0085,0.0173,0.0052,0.0396,0.0144
TabDDPM,xss,0.4231,0.0136,0.4216,0.025,-0.0015,0.0224,-0.0944,0.0367
